idx,orig_label,fidelity_drop,confidence,stability_no_stopwords,stability_no_punct,topk_overlap,xai_change,label_flip,robust_expl,fidelity_norm,stability_norm,agreement_norm,robustness_norm,ERS
128,neutral,0.0008071064949035,0.9988476037979126,0.6,0.4,0.625,0.4,0,0.6,0.008686349613829577,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.5545531157509207
129,neutral,5.91278076171875e-05,0.9989450573921204,0.6,0.4,0.625,0.4,0,0.6,0.007943228967292878,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.5543673355892865
130,neutral,-0.0001720786094665,0.9985700845718384,0.6,1.0,1.0,0.4,0,0.6,0.0077135242109046855,0.7481296758104754,1.0,0.7481296758104754,0.6259932189579638
131,negative,0.1661812663078308,0.9986246824264526,0.4,0.4,0.5,0.6,0,0.4,0.17298642212860232,0.4987531172069836,0.570613409415122,0.4987531172069836,0.4352765164894229
132,neutral,0.003201425075531,0.998723804950714,0.6,0.8,0.625,0.4,0,0.6,0.011065117353998706,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.5551478076859631
133,neutral,0.0868332982063293,0.9985613226890564,0.8,0.8,0.625,0.1999999999999999,0,0.8,0.09415381050581917,0.9975062344139672,0.7132667617689025,0.9975062344139672,0.700608260275664
134,neutral,3.594160079956055e-05,0.999135673046112,0.2,0.6,0.375,0.8,0,0.19999999999999996,0.0079201933523831,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.23365834190517704
135,neutral,-9.304285049438477e-05,0.999116599559784,0.6,0.2,0.5,0.4,0,0.6,0.007792046641162641,0.7481296758104754,0.570613409415122,0.7481296758104754,0.5186662019193089
136,neutral,-9.673833847045898e-05,0.9990573525428772,0.2,0.6,0.5,0.8,0,0.19999999999999996,0.007788375154981648,0.2493765586034918,0.570613409415122,0.24937655860349175,0.2692887254442718
137,neutral,0.0001676678657531,0.9990917444229126,0.2,0.6,0.25,0.8,0,0.19999999999999996,0.008051064069479707,0.2493765586034918,0.285306704707561,0.24937655860349175,0.19802772149600606
